movie,movie_studio
Cautiva,Laemmle/Zeller Films
Uncle Boonmee Who Can Recall His Past Lives,Strand Releasing
A Man and a Woman,Warner Home Video
Comes A Bright Day,Strand Releasing
The Stone Roses: Made of Stone,Syndctd Entertainment
"Dr. Mabuse the Gambler (Dr. Mabuse, der Spieler - Ein Bild der Zeit) (Dr. Mabuse, King of Crime)",Decla-Bioscop
Infernal Affairs (Mou gaan dou),Miramax
Sunset Song,Iris Productions
"Happy, Happy",Magnolia Pictures
Alle Anderen (Everyone Else),Cinema Guild
A Thousand Years of Good Prayers,Magnolia Pictures
"Paris, Texas",20th Century Fox
Mental,Dada Films
Remember the Daze,First Look
American Gun,IFC Films
Viva,Cult Epics
Rebels of the Neon God,Big World Pictures
Me and Orson Welles,Freestyle Releasing
Journey of Hope,Miramax Films
Reinas (Queens),Regent Releasing
Der Unhold (The Ogre),Kino
L'uccello dalle piume di cristallo (The Bird With the Crystal Plumage),VCI Entertainment
La Bte (The Beast),Argos Films
Summer With Monika (Sommaren med Monika),Svensk Filmindustri
Corpo Celeste,Film Movement
Home,Diaphana Films
Blue State,Fox Home Entertainment
The Girl with the Dragon Tattoo,Music Box Films
Die Stille nach dem Schu (The Legend of Rita) (The Legends of Rita),Kino International
Howling II,HBO Video
Knife in the Water,Criterion Collection
Montenegro,Atlantic Releasing Corporation
Bread & Tulips,First Look Pictures
Life Is Beautiful (La Vita  bella),Miramax
Atrocious,Celluloid Nightmares
Tokyo Sonata (Tokyo Sonata),Regent Releasing
Camille Claudel,Orion Home Video
Slingshot,Sony Pictures Home Entertainment
Happy Endings,Lions Gate
Violeta Went to Heaven,Kino Lorber Films
The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),IFC First Take
All or Nothing,MGM Distribution Company
Ha-shoter (Policeman),Corinth Films
Incubo sulla citt contaminata (Nightmare City) (Invasion by the Atomic Zombies),21st Century Distribution
Examined Life,Films We Like/Zeitgeist Films
Ju Dou,Live Home Video
Elevator to the Gallows (Ascenseur pour l'chafaud),Rialto Pictures
Godzilla Vs Mechagodzilla,Sony Pictures Entertainment
Thrse,Roadside Attractions
Neds,Tribeca Films
Young Mr. Lincoln,20th Century Fox Film Corporation
The Pornographer,Film Tonic
Dostana,Yash Raj Films
Salaam Namaste,Yash Raj Films
After the Storm (Umi yori mo mada fukaku),Film Movement
The Edukators,IFC Films
Chalet Girl,IFC Films
Mao's Last Dancer,Samuel Goldwyn Films
Maria Full of Grace,New Line Cinema
Munyurangabo,Film Movement
Yukinojo Henge (An Actor's Revenge),Daiei Studios
Mr. & Mrs. Smith,RKO Radio Pictures
Once Upon a Time in Anatolia,The Cinema Guild
Woyzeck,Gaumont
The Messenger,Films  Cinq
Salvation Army,Strand Releasing
Rashmon,Janus Films
Inside ( l'intrieur),The Weinstein Company
Friends With Money,Sony Pictures Classics
Land of Silence and Darkness (Land des Schweigens und der Dunkelheit),Referat fr Filmgeschichte
Interview,Sony Classics
The Thief (Vor) (Ğ’Ğ¾Ñ€),Stratosphere Entertainment
Joyeux Nol (Merry Christmas),Sony Pictures Classics
The Page Turner (La Tourneuse de pages),Tartan Films
The Tango Lesson,Sony Pictures Home Entertainment
Bully,Lions Gate Films
Gerhard Richter Painting,Kino Lorber Films
The Tribe,Drafthouse Films
CJ7,Sony Pictures Classics
Heartbeats,IFC Films
The Enigma of Kaspar Hauser (Jeder fr sich und Gott gegen alle)(Every Man for Himself and God Against All),New Yorker Films
Never Forever,Prime Entertainment
La sindrome di Stendhal (The Stendhal Syndrome),Troma
El Bao del Papa (The Pope's Toilet),Cinemien
Going Places (Les valseuses),Franco London Films
After the Ball,Pacific Northwest Pictures
I Vitelloni,Janus Films
The Intouchables,The Weinstein Company
A Man Called Ove (En man som heter Ove),Tre Vnner Produktion AB
La tte en friche (My Afternoons with Margueritte),Cohen Media Group
Padre Padrone,RAI
Together,IFC Films
The Waiting City,E1 Entertainment
Smile,Dark Forest Releasing
Ten Nights of Dreams (Yume j-ya),Cinema Epoch
Sangre De Mi Sangre,IFC Films
Byzantium,IFC Films
Bestiaire,Zeitgeist Films
Sarafina!,Miramax
Waiting For Dublin,Cinema Libre
Oyster Farmer,C-100 Film Corporation
Che: Part One (The Argentine),IFC Films
Love in the Time of Money,ThinkFilm
Cockneys vs Zombies,Shout! Factory
Be My Cat: A Film for Anne,Terror Films
Jellyfish Eyes,Janus Films
The Shop On Main Street (Obchod na Korze),Prominent Films
Our Brand Is Crisis,Koch Lorber Films
Mother of Tears: The Third Mother,Weinstein Company
What Happened Was...,Hallmark Entertainment
The Ritual,Netflix
Brimstone,N279 Entertainment
The Ambassador,Drafthouse Films
Friend Request,Entertainment Studios Motion Pictures
Bride Flight,Music Box Films
Change of Plans (Le Code a Chang),IFC Films
Return of the Secaucus Seven,IFC Films
A Separation,Sony Pictures Classics
The Cake Eaters,7-57 Releasing
Battle for Haditha,HanWay Films
House (Hausu),Toho International Company Inc
Summer Storm (Sommersturm),Regent Releasing
I Am Love,Magnolia Pictures
I Like It Like That,Sony Pictures Home Entertainment
Gilda,Sony Pictures Home Entertainment
Steve + Sky,Kinepolis Film Distribution
La Moustache,Cinema Guild
A Great Wall,Orion Classics
The Unknown Soldier,First Run Features
My Own Private Idaho,Fine Line Features
The Double Hour,Samuel Goldwyn Films
I Am A Sex Addict,IFC First Take
Eklavya,Eros Entertainment
Travelers and Magicians,Zeitgeist Films
The Yellow Sea (Hwanghae),20th Century Fox
Trust,Republic Pictures Home Video
Four ,EuropaCorp. Distribution
Pickpocket,Image Entertainment
The Squid and the Whale,Samuel Goldwyn Films
Pimp,Revolver Entertainment
Natural Resistance,IFC Films
A Royal Affair,Magnolia Pictures
Alphaville,Rialto Pictures
Nicky's Family,Menemsha Films
A Funny Thing Happened on the Way to the Forum,Quandrangle
Last Men in Aleppo,Grasshopper Film
A Screaming Man,Film Movement
Assisted Living,Economic Projections
Coco Before Chanel,Sony Pictures Classics
Young Yakuza,Cinema Epoch
Us and Them,The Orchard
Kabluey,Regent Releasing/Whitewater Films
The Skin I Live In,Sony Pictures Classics
My Father's Glory (La Gloria de Mon Pere),Orion Home Video
"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)",Film Arts Guild
104,12/2/2011
The Condemned,Strand Releasing
Cas & Dylan,Entertainment One Films
Das Haus der Schlafenden Schnen (House of the Sleeping Beauties),First Run Features
Quai des Orfvres (Quay of the Goldsmiths) (Jenny Lamour),Majestic Films International
Eid milad Laila (Laila's Birthday),Kino International
Telstar (Telstar: The Joe Meek Story),PreviewNetworks
Mafioso,Rialto Pictures
Three Colors: White (Trois Couleurs: Blanc),Miramax Films
Fascination,MGM/UA
Volver,Sony Pictures Classics
"Manolo, The Boy Who Made Shoes For Lizards",Nevision Studios One
Saint Laurent,Sony Pictures Classics
Shoujyo: An Adolescent,Indican Pictures
Jungfrukllan (The Virgin Spring),Criterion Collection
Accattone (The Procurer) (The Scrounger),Water Bearer Films Inc.
River of Grass,Oscilloscope Laboratories
The Living Wake,Mangusta Productions
The Wizard of Oz,Warner Bros. Pictures
Simon and the Oaks,The Film Arcade
The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie),20th Century Fox
Heart of Glass (Herz aus Glas),New Yorker Films
Newcastle,Jour de Fete
Waste Land,Arthouse Films
Peepli Live,UTV Communications
In My Country,Sony Pictures Classics
Final Portrait,Sony Pictures Classics
Dormant Beauty,Emerging Picutres
Gate of Hell (Jigokumon),Criterion Collection
Terribly Happy (Frygtelig lykkelig),Oscilloscope Pictures
United Red Army,Lorber Films
I'm All Right Jack,Columbia Pictures
"Lucia, Lucia",Fox Searchlight Pictures
Fathers And Daughters,Voltage Pictures
The Tao of Steve,Sony Pictures Classics
Certified Copy (Copie Conforme),Artificial Eye Film Co. Ltd
La mujer de mi hermano,Lions Gate Films
The Iron Ladies,Strand Releasing
Jiro Dreams of Sushi,Magnolia Pictures
[REC] 4: Apocalypse,Magnolia Pictures/Magnet Releasing
Madeinusa,Film Movement
Mad to Be Normal,Samuel Goldwyn Films
The Final Season,Yari Film Group
Bhoot (Ghost House),Varma Corporation Limited [in]
Swerve,Cohen Media Group
El Nino Pez (The Fish Child),Regent Releasing/Here Media
Me You Them,SPC
The Young Girl and the Monsoon,Artistic License
Rory O'Shea Was Here,Focus Features
The Vanishing (Spoorloos),20th Century Fox
Heartbreaker (L'Arnacoeur),Universal
Forever Mine,"MGM Pictures, Inc."
Mostly Martha (Bella Martha),Paramount Classics
Stella Days,Tribeca Film
The Million Dollar Hotel,Icon Entertainment
War and Peace,Paramount Pictures
All the Mornings of the World (Tous Les Matins du Monde),CNC
Secretary,Lions Gate
Down Terrace,Magnolia Pictures
The Tunnel Movie,Distracted Media & House Lights Media
Open City,Criterion Collection
The Field,Live Home Video
High Tension (Switchblade Romance),Lions Gate Films
Immoral Tales,IFC Midnight
Kitchen Stories,IFC Films
Little Voice,Miramax
A Prophet (Un prophete),Sony Pictures Classics
The Class,Sony Pictures Classics
La Scorta,First Look Pictures Releasing
Wolke Neun (Cloud 9),Senator Film
The Last Circus,Magnolia Pictures
The Young Philadelphians,Warner Home Video
Rabid,New Concorde Home Entertainment
The Flowers of War,Wrekin Hill Entertainment
First Position,Sundance Selects
Declaration of War,IFC Films
The Harmonists,Miramax Films
Madame Sat,Wellspring
The English Surgeon,Roco Films
"Ivan the Terrible, Part I (Ivan Grozniy)",Criterion Collection
The Best Little Whorehouse in Texas,Universal Pictures
Correspondence (La corrispondenza),Paco Cinematografica
Weapons,LionsGate Entertainment
The Go-Getter,Peace Arch Entertainment
Free Money,Lionsgate
Aileen: Life and Death of a Serial Killer,Lantern Lane Entertainment Ltd
Somers Town,Film Movement
Adoration,Sony Pictures Classics
X: Night of Vengeance,IFC
Sidewalls,IFC Films
All the Queen's Men,Strand Releasing
Sweet Land,Libero LLC
Things to Come (L'avenir),IFC Films
Bartleby,Parker Film Co
Two Weeks,MGM
Ciao! Manhattan,Plexifilm
Todo sobre mi madre (All About My Mother),Sony Pictures Classics
The Conformist,Paramount Pictures
Suicide Club,TLA Releasing
These Final Hours,Well Go USA
24 City (Er shi si cheng ji),FilmsWeLike
Touching Wild Horses,First Look Pictures
Broken Tower,Independant Films
Circumstance,Roadside Attractions
Johns,First Look Pictures
Trauma,20th Century Fox
Passenger Side,Strand Releasing
No Smoking,Eros Entertainment
The Marriage of Maria Braun (Die Ehe der Maria Braun),Criterion Collection
Petits Frres,First Run Features
The Color of Paradise,Sony Pictures Classics
The French Minister,Sundance Selects
Late Spring,Criterion Collection
Broken English,Magnolia Pictures
The Farmer's Wife,British International Pictures
Professione: reporter (The Passenger),Sony Pictures Classics
The Barefoot Contessa,United Artists
The Cat o' Nine Tails (Il gatto a nove code),Blue Underground
A Little Chaos,Focus Features
Starbuck,Entertainment One
La dlicatesse (Delicacy),Cohen Media Group
Sikandar (Foot Soldier),Big Pictures Releases
Autmata,Millennium Entertainment
Despite The Falling Snow,Enlightenment Productions
I Served the King of England,Sony Pictures Classics
13 Tzameti,Palm Pictures
Archipelago,Kino Lorber Films
Adam's Apples,Outsider Pictures
Slugs,New World
The House of the Spirits,Live Home Video
Shopping for Fangs,Vanguard
O Som ao Redor (Neighbouring Sounds),Cinema Guild
L'Enfant,Sony Picture Classics
The World of Apu,Satyajit Ray Productions
Three Worlds,Film Movement
The Great Silence (Il grande silenzio),Fantoma
Trees Lounge,Live Home Video
The Story of Qiu Ju (Qiu Ju da guan si),Sil-Metropole Organisation
The Big Day (Jour De Fete),Cady Films
Antonia (Antonia's Line),BMG
Alila,Kino International
Black Death,Magnet Releasing
The Mission,Warner Home Video
Open Your Eyes (Abre los Ojos),Artisan Pictures
Until the End of the World (Bis ans Ende der Welt),Warner Home Video
Shadows of Forgotten Ancestors (Tini zabutykh predkiv),Artkino Pictures Inc.
"Csillagosok, katonk (The Red and The White)",Brandon Films Inc.
Urok (The Lesson),Film Movement
The Asphyx,Paragon Films Inc.
Santa Sangre,Republic Pictures Home Video
Vampyr - Der Traum des Allan Grey,General Foreign Sales Corp.
The Forest of the Lost Souls (A Floresta das Almas Perdidas),2203 Studio
Hunky Dory,Variance Films
Poetry,Kino International
Staten Island (Little New York),National Entertainment Media
Yves Saint Laurent - L'amour fou,IFC Films
A Month by the Lake,Miramax
Puccini for Beginners,Strand Releasing
Amal,Sville Pictures
Der Blaue Engel (The Blue Angel),Universum Film Gmbh
Diary of a Chambermaid (Le journal d'une femme de chambre),20th Century-Fox
The House By The Cemetery (Quella villa accanto al cimitero),Anchor Bay Entertainment
Z,Rialto Pictures
Like Stars on Earth,UTV Communications
36 quai des orfevres,Sville Pictures
Empties (Vratn lahve),Portobello Pictures
Nostalgia for the Light,Icarus Films
Desert Hearts,The Samuel Goldwyn Company
The Healer,AMBI Media Group
El Topo,Tartan Films
Opera,Blue Underground
Tetsuo: The Ironman,Original Cinema
"London mon amour (Mes amis, mes amours)",Equinoxe Films
Immortality,Miramax Films
Legend,Universal Studios
The Man Without a Past,Sony Pictures Classics
De eso no se habla (I Don't Want to Talk About It),Sony Pictures Home Entertainment
On the Beach at Night Alone (Bamui haebyun-eoseo honja),Cinema Guild
Pontypool,IFC Entertainment
Deeply,LionsGate Entertainment
Karl Marx City,Pepper and Bones
Gabbeh,MK2 Productions
Boy Meets Girl (),Franco London Films
Nosferatu: Phantom der Nacht (Nosferatu the Vampyre),20th Century Fox
Elstree 1976,British Film Company
Sous les Toits de Paris (Under the Roofs of Paris),Criterion Collection
Battleship Potemkin,Kino International
Eddie The Sleepwalking Cannibal,Doppelgnger Releasing
Samaritan Girl (Samaria),Tartan USA
Le Feu follet (A Time to Live and a Time to Die) (The Fire Within),Criterion Collection
Widows' Peak,Sony Pictures Home Entertainment
King David,Paramount Pictures
Good Morning (Ohay),Shchiku Eiga
Force Majeure,Magnolia Pictures
Joueuse (Queen to Play),Zeitgeist Films
Mom and Me,Uncork'd Entertainment
Biutiful,Roadside Attractions
Following,IFC
In Search of Memory (Auf der Suche nach dem Gedchtnis),Icarus Films
Whisky Galore,Whisky Galore Movie Ltd
Seven Beauties (Pasqualino Settebellezze),Koch Lorber Films
Here and There,Independant Pictures
Shattered,MGM Home Entertainment
Free Zone,New Yorker Films
Insiang,Digital Rights Group
Where Do We Go Now?,Sony Pictures Classics
Love Is Colder Than Death,Criterion Collection
The Rocking Horse Winner,General Film Distributors
"Yours, Mine and Ours",MGM Home Entertainment
The Very Thought of You,Miramax
Factotum,IFC Films
Coffee and Cigarettes,MGM
Rocket Science,Picturehouse
StreetDance 2,Alliance
"Ja zuster, nee zuster (Yes Nurse! No Nurse!)",Regent Releasing
My Sister Maria,TLA Releasing
Nostalgia (Nostalghia),Kino Lorber
The Crime of Padre Amaro,Samuel Goldwyn Films
Une Vieille Matresse (The Last Mistress) (An Old Mistress),IFC Films
Veronica Guerin,Buena Vista Distribution Compa
Land of Mine (Under Sandet),Sony Pictures Classics
The Treatment,New Yorker Films
Garden Party,Lionsgate
Invincible,Fine Line Features
Breaking the Waves,Artisan Entertainment
The Flower of Evil,Palm Pictures
My Favorite Season (Ma saison prfre),D.A. Films
Toni Erdmann,Sony Pictures Classics
Bangkok Dangerous,First Look
Let the Right One In,Magnet/Magnolia Pictures
The White Ribbon (Das weisse Band),Sony Pictures Classics
Or (My Treasure),Kino International
This Is England,IFC First Take
Il portiere di notte (The Night Porter),s
The World of Suzie Wong,Paramount Pictures
Will,Sonar Entertainment
Blood Feast,Box Office Spectaculars
Twelfth Night,New Line Home Entertainment
The Golden Dream (La Jaula De Oro),Double Exposure
A Month Of Sundays,Monterey Media
Lies,Cowboy Booking International
Law of Desire,Cinevista
Yella,The Cinema Guild
Evil (Ondskan),Magnolia Pictures
The Low Life,Vanguard
3,Strand Releasing
Walk on Water,Roadside Attractions
The Return of the Pink Panther,United Artists
"Godzilla, King of the Monsters!",Vestron Video
Lisa And The Devil (Lisa e il diavolo) (The Devil in the House of Exorcism),Cheezy Flicks Entertainment
The Lair of the White Worm,Vestron Video
Un Baiser s'il vous plat (Shall We Kiss?),Music Box Films
Where the Green Ants Dream (Wo die Grnen Ameisen Trumen),Orion Classics
The Turin Horse,Cinema Guild
The Housemaid,IFC Films
La Bte Humaine (Judas Was a Woman)(The Human Beast),Criterion Collection
Zen Noir,Magic Lamp Releasing
Human Capital,Film Movement
Last Train Home,Zeitgeist Films
Dmoni (Demons),Ascot Films
Ashik Kerib,Kino Lorber
Even the Rain (Meme La Pluie),Vitagraph Films
London River,Cinema Libre
Four Flies on Grey Velvet (4 mosche di velluto grigio),Paramount Pictures
Strike (Stachka),Goskino
Alan Partridge,Magnolia Pictures
Be With Me,Film Movement
Miramax,140
Bella (Beauty),Roadside Attractions
Dust,Lions Gate Films
Blind Spot: Hitler's Secretary,Sony Pictures Classics
Trouble Every Day (Gargoyle),Lot 47 Films
A Song for Martin,Nordisk
Code Unknown (Code inconnu: Rcit incomplet de divers voyages),Kino on Video
Nails,Dark Sky Films
"Question humaine, La, (Heartbeat Detector)",New Yorker
Living Is Easy With Eyes Closed,Outsider Pictures
My Name Is Khan,Fox Searchlight
"C'est Pas Moi, Je le Jure! (It's Not Me, I Swear!)",Christal Films
Moonrise,Republic
Orhim le-rega (Off-White Lies),Film Movement
Tunes of Glory,Criterion Collection
Bite,Black Fawn Films
The Special Relationship,Home Box Office (HBO)
Eating,New Video Group
