movie,screenwriter,year
Jackie Chan's First Strike,Elliot Tong,1996
Out of the Past,Daniel Mainwaring,1947
Weekend at Bernie's,Robert Klane,1989
Pompeii,Michael Robert Johnson,2014
Ironclad,Jonathan English,2011
Heavy Trip (Hevi reissu),Jukka Vidgren,2018
Karla,Manette Rosen (II),2006
24 Hours to Live,Zach Dean,2017
The Messenger: The Story of Joan of Arc,Luc Besson,1999
The Unbelievable Truth,Hal Hartley,1990
The Last Mogul (Life and Times of Lew Wasserman),Barry Avrich,2005
Rampart,Oren Moverman,2012
My Journey Through French Cinema (Voyage  Travers Le Cinma Franais),Bertrand Tavernier,2017
Forever Young,Bruce Davey,1992
Harakiri,Shinobu Hashimoto,1962
Men in Black,Ed Solomon,1997
Guys and Dolls,Joseph L. Mankiewicz,1955
Dr. T and the Women,Robert Altman,2000
"Look Who's Talking, Too",Amy Heckerling,1990
Filth and Wisdom,Madonna,2008
Lost in La Mancha,Keith Fulton,2003
Moonlight and Valentino,Ellen Simon,1995
Mothers and Daughters,Paige Cameron,2016
Streets of Fire,Walter Hill,1984
Circle of Iron,Stirling Silliphant,1979
Aftershock,Eli Roth,2013
Brain Dead,Charles Beaumont,1989
Kickboxer: Vengeance,Dimitri Logothetis,2016
Open Water,Chris Kentis,2004
Supergirl,David Odell,1984
Henry's Crime,Sacha Gervasi,2011
"Batman: The Dark Knight Returns, Part 1",Bob Goodman,2012
PU-239,Scott Z. Burns,2006
For a Few Dollars More (Per Qualche Dollaro in Pi),Fulvio Morsella,1965
Man of the House,John J. McLaughlin,2005
Beware the Gonzo,Bryan Goluboff,2011
Capote,Dan Futterman,2005
From Here to Eternity,Daniel Taradash,1953
Left Behind: The Movie,Alan B. McElroy,2001
Zaytoun,Nader Rizq,2013
Good Boy!,Zeke Richardson,2003
Inside Out,Meg LeFauve,2015
The Goebbels Experiment,Kenneth Branagh,2005
Peeples,Tina Gordon Chism,2013
Mission: Impossible Ghost Protocol,Andr Nemec,2011
The Piano,Jane Campion,1993
Gilles' Wife (La Femme de Gilles),Philippe Blasband,2005
The Widow of Saint-Pierre (The Widow of St. Pierre) (La veuve de Saint-Pierre),Claude Faraldo,2000
Becket,Edward Anhalt,1964
The Shock Doctrine,Michael Winterbottom,2009
Misconduct,Simon Boyes,2016
Baby Face,Kathryn Scola,1933
Spike Island,Chris Coghill,2015
Charade,Peter Stone,1963
Riding Giants,Sam George,2004
Milarepa,Tenzing Choyang Gyari,2007
Rudderless,William H. Macy,2014
Clash by Night,Alfred Hayes,1952
Robin Hood: Prince of Thieves,John Watson,1991
Witness,William Kelley,1985
Radio Flyer,David Mickey Evans,1992
The Skeleton Key,Ehren Kruger,2005
Killing Them Softly,Andrew Dominik,2012
Seasons (Les saisons),Jacques Perrin,2016
Bottle Rocket,Owen Wilson,1996
Obsession,Brian DePalma,1976
The Secret Life of Pets,Ken Daurio,2016
The Mechanic,Richard Wenk,2011
The Incredibly True Adventure of Two Girls in Love,Maria Maggenti,1995
Helen,Joe Lawlor (II),2008
The Theatre Bizarre,Karim Hussain,2012
Plan 9 from Outer Space,Edward D. Wood Jr.,1959
Red,Stephen Susco,2008
Harry Potter and the Goblet of Fire,Steve Kloves,2005
Halloween 5: The Revenge of Michael Myers,Dominique Othenin-Girard,1989
Win a Date With Tad Hamilton!,Victor Levin,2004
Ladies in Lavender,Charles Dance,2005
The Adventures of Robin Hood,Norman Reilly Raine,1938
State Property,Ernest 'Tron' Anderson,2002
Warcraft,Charles Leavitt,2016
Charlotte Bronte's Jane Eyre,Franco Zeffirelli,1996
Infinity,Patricia Broderick,1996
Bonsi,Cristin Jimnez,2012
She Done Him Wrong,Mae West,1933
Who the #$&% Is Jackson Pollock?,Harry Moses,2006
The Killer Elite,Marc Norman,1975
Fulltime Killer,Wai ka Fai,2003
The Easy Life (Il sorpasso),Ruggero Maccari,1962
The Tenant,Grard Brach,1976
Devil,M. Night Shyamalan,2010
Army of Darkness,Sam Raimi,1993
"See No Evil, Hear No Evil",Earl Barret,1989
Why Stop Now?,Phil Dorling,2012
Human Capital,Francesco Piccolo,2015
The Program,Aaron Latham,1993
Hot Shots!,Jim Abrahams,1991
I Think I Love My Wife,Louis C.K.,2007
"Oslo, August 31st",Eskil Vogt,2012
The Baxter,Michael Showalter,2005
Ragnarok,John Kre Raake,2014
The Lickerish Quartet,Michael De Forrest,1970
The Last Witch Hunter,Burk Sharpless,2015
The Education of Charlie Banks,Peter Elkoff,2009
The First Beautiful Thing (La prima cosa bella),Francesco Bruni,2011
Murder of a Cat,Robert Snow,2014
Ricky,Franois Ozon,2009
Shall We Dance? (Shall We Dansu?),Masayuki Suo,1996
Jindabyne,Beatrix Christian,2006
Ghost Story,Larry Cohen,1981
Cupcakes,Eytan Fox,2015
Red Trees,Marina Willer,2017
Drop Dead Fred,Anthony Fingleton,1991
Mr. Bean's Holiday,Robin Driscoll,2007
The Legend of Tarzan,Adam Cozad,2016
Submerged,Scott Milam,2015
The Deep,Peter Benchley,1977
Stage Door,Anthony Veiller,1937
The 33,Craig Borten,2015
Atrocious,Fernando Barreda Luna,2011
Searching for Sugar Man,Malik Bendjelloul,2012
Devil's Knot,Paul Harris Boardman,2014
The Intruder (L'Intrus),Claire Denis,2005
Lost Souls,Pierce Gardner,2000
The Hunchback of Notre Dame,Bruno Frank,1939
Letters to Juliet,Jose Rivera,2010
Beyond the Mat,Barry W. Blaustein,1999
Arcadia,Olivia Silver,2012
Fear and Desire,Howard O. Sackler,1953
Heathers,Daniel Waters,1988
The Wackness,Jonathan Levine,2008
My Bloody Valentine,John Beaird,1981
Don't Come Knocking,Sam Shepard,2006
Make Your Move,Duane Adler,2014
Next,Paul Bernbaum,2007
The Sessions,Ben Lewin,2012
Everest,Tim Cahill,1998
Brotherhood,Douglas Simon,2011
Tango & Cash,Randy Feldman,1989
The Young Philadelphians,James Gunn,1959
Good Kids,Chris McCoy,2016
The Company Men,John Wells,2011
Flash of Genius,Phillip Railsback,2008
Creep 2,Mark Duplass,2017
Billy Madison,Tim Herlihy,1995
The Tailor of Panama,John Boorman,2001
The Son of No One,Dito Montiel,2011
Cub (Welp),Roel Mondelaers,2014
Spring Breakdown,Ryan Shiraki,2009
Hollow,Matthew Holt,2012
Audition (dishon),Daisuke Tengan,1999
The Forgotten Kingdom,Andrew Mudge,2013
Werewolf: The Beast Among Us,Louis Morneau,2012
Rescue Dawn,Werner Herzog,2007
Wayne's World 2,Mike Myers,1993
And So It Goes,Mark Andrus,2014
Greetings From Tim Buckley,Emma Sheanshang,2013
Mr. & Mrs. Smith,Simon Kinberg,2005
The Comedian,Art Linson,2017
An American Werewolf in London,John Landis,1981
C.H.U.D. (Chud),Shepard Abbott,1984
Small Crimes,E.L. Katz,2017
Shane,Jack Sher,1953
Gainsbourg: A Heroic Life,Joann Sfar,2011
The Attack,Jolle Touma,2013
Pirates of the Caribbean: Dead Man's Chest,Ted Elliott,2006
Rock-a-Doodle,David N. Weiss,1992
Sophie's Choice,Alan J. Pakula,1982
Harbinger Down,Alec Gillis,2015
The Horse Soldiers,John Lee Mahin,1959
Any Day Now,George Arthur Bloom,2012
Earthquake,Mario Puzo,1974
Hav Plenty,Christopher Scott Cherot,1998
Midnight Special,Jeff Nichols,2016
Win Win,Tom McCarthy,2011
As Good as It Gets,James L. Brooks,1997
Black Irish,Brad Gann,2007
The Grandmaster,Jingzhi Zou,2013
One Lucky Elephant,Cristina Colissimo,2011
Young Einstein,Yahoo Serious,1988
Class of 1999,C. Courtney Joyner,1990
Bad Boys,Richard Dilello,1982
Murders in the Rue Morgue,Tom Reed,1932
The Strange Color of Your Body's Tears,Bruno Forzani,2014
The Ghost and Mr. Chicken,Everett Greenbaum,1966
A Birder's Guide To Everything,Luke Matheny,2014
Bruiser,George A. Romero,2000
California Split,Joseph Walsh,1974
"Peace, Love, & Misunderstanding",Christina Mengert,2012
Jack Reacher,Christopher McQuarrie,2012
15 Minutes,John Herzfeld,2001
Stalker,Arkady Strugatsky,1979
Some Mother's Son,Jim Sheridan,1996
Web Junkie,Hilla Medalia,2014
Gold Star,Victoria Negri,2017
Destination Wedding,Victor Levin,2018
Waveriders,Lauren Davies,2009
Bruce Almighty,Mark O'Keefe,2003
Midnight in Paris,Woody Allen,2011
Walt Before Mickey,Arthur L. Bernstein,2015
Absolute Power,William Goldman,1997
Knute Rockne---All American,Robert Buckner,1940
Three Amigos!,Steven M. Martin,1986
Una Giornata Particolare (A Special Day),Maurizio Costanzo,1977
What Just Happened?,Art Linson,2008
Proof,Rebecca Miller,2005
Bitch Slap,Eric Gruendemann,2010
Brigsby Bear,Kevin Costello,2017
The Blue Iguana,John Lafia,1988
Malena,Giuseppe Tornatore,2000
That Uncertain Feeling,Donald Ogden Stewart,1941
Dogtown and Z-Boys,Craig Stecyk,2001
Nothing Like the Holidays,Rick Najera,2008
Friends With Benefits,Keith Merryman,2011
Cirque Du Soleil: Worlds Away,Andrew Adamson,2012
Silk Stockings,Leonard Gershe,1957
Paterson,Jim Jarmusch,2016
Machete Kills,Marcel Rodriguez,2013
The Pied Piper,Mark Peploe,1972
Severance,Christopher Smith (VIII),2006
Hearts Of The West (Hollywood Cowboy),Rob Thompson,1975
Girl Most Likely,Michelle Morgan,2013
Redline,Richard Foreman,2007
1492: Conquest of Paradise,Roselyne Bosch,1992
Hardware Wars,Ernie Fosselius,2009
Toy Story That Time Forgot,Steve Purcell (II),2014
Trainwreck,Amy Schumer,2015
The Triplets of Belleville,Sylvain Chomet,2003
The Air Up There,Kenneth Kaufman,1994
Blood and Black Lace (Sei donne per l'assassino),Giusseppe Barilla,1964
Love Wedding Marriage,Caprice Crane,2011
The Midwife (Sage femme),Martin Provost,2017
Fantastic Planet,Ren Laloux,1973
Snabba cash (Easy Money),Maria Karlsson,2012
The Hero,Brett Haley,2017
Teenage Mutant Ninja Turtles: Out of the Shadows,Kevin Eastman,2016
The Beach,John Hodge,2000
Unborn in the USA: Inside the War on Abortion,Will Thompson,2007
Mustang,Deniz Gamze Ergven,2015
Big Momma's House,Darryl Quarles,2000
The Philadelphia Experiment,Michael Janover,1984
Dear Diary (Caro diario),Nanni Moretti,1994
Latter Days,C. Jay Cox,2004
Things You Can Tell Just by Looking at Her,Rodrigo Garca,2000
The Turning,Andrew Upton,2015
Confucius,Jiang Qitao,2010
Transformers: Revenge of the Fallen,Ehren Kruger,2009
Die Hard,Jeb Stuart,1988
Spy Hard,Rick Friedberg,1996
Harlem Aria,William Jennings,1999
Equals,Nathan Parker,2016
Jack and Jill,Robert Smigel,2011
The Godfather,Mario Puzo,1972
12 Strong,Peter Craig,2018
Steelyard Blues,David S. Ward,1973
How to Live Forever,Mark S. Wexler,2011
Vidal Sassoon: The Movie,Craig Teper,2011
The Gold Rush,Charles Chaplin,1925
"The Aryan Couple, (The Couple)",John Daly,2005
Blade II,Guillermo del Toro,2002
Angel-A,Luc Besson,2005
The Lifeguard,Liz W. Garcia,2013
Jude,Hossein Amini,1996
The Thin Man Goes Home,Dwight Taylor,1945
The Court Jester,Melvin Frank,1956
Blink,Dana Stevens,1994
Ride Along,Gregory Coolidge,2014
Cinemania,Stephen Kijak,2002
The Departed,William Monahan,2006
Code Name: Geronimo,Kendall Lampkin,2012
Custer of the West,Julian Halevy,1967
Doug's 1st Movie,Joe Aaron,1999
The Young Messiah,Betsy Giffen Nowrasteh,2016
On the One,Kevin Heffernan,2005
The Iron Ministry,J.P. Sniadecki,2015
The Death and Life of Marsha P. Johnson,David France,2017
Hellions,Pascal Trottier,2015
Bustin' Down the Door,Jeremy Gosch,2008
Highlander,Peter Bellwood,1986
Volver,Pedro Almodvar,2006
CSA: The Confederate States of America,Kevin Willmott,2005
The Judge,Bill Dubuque,2014
Against the Ropes,Cheryl Edwards,2004
Billionaire Ransom (Take Down),Alexander Ignon,2016
Mustang,Alice Winocour,2015
Knock Off,Stephen E. deSouza,1998
Silverado,Mark Kasdan,1985
Summer School,Stuart Birnbaum,1987
Fire Birds,Paul F. Edwards,1990
Zulu,John Prebble,1964
Heat,William Goldman,1986
Pusher,Matthew Read,2012
Cairo Time,Ruba Nadda,2010
Fat,Mark Phinney,2015
10 Rules For Sleeping Around,Leslie Greif,2014
Ricki And The Flash,Diablo Cody,2015
Sleep Dealer,David Riker,2009
"Edison, the Man",Talbot Jennings,1940
House on Haunted Hill,Robb White,1999
Coco Before Chanel,Jacques Fieschi,2009
Eddie The Sleepwalking Cannibal,Boris Rodriguez,2013
Lili,Helen Deutsch,1953
The General's Daughter,Nelson DeMille,1999
Pulse (Kairo),Kiyoshi Kurosawa,2005
The Thin Man,Frances Goodrich,1934
Don't Stop Believin': Everyman's Journey,Ramona S. Diaz,2013
The Catechism Cataclysm,Todd Rohal,2011
Superbabies: Baby Geniuses 2,Gregory Poppen,2004
The Lord of the Rings: The Fellowship of the Ring,Fran Walsh,2001
"1,000 Times Good Night",Harald Rosenlw-Eeg,2014
Henry V,Kenneth Branagh,1989
The Sapphires,Keith Thompson,2013
13 Assassins,Shoichiro Ikemiya,2011
A.I. Artificial Intelligence,Steven Spielberg,2001
Holy Rollers,Antonio Macia,2010
Kaidan (Kwaidan) (Ghost Stories),Lafcadio Hearn,1964
The Good Postman,Tonislav Hristov,2016
Remo Williams - The Adventure Begins,Warren B. Murphy,1985
Year of the Dragon,Oliver Stone,1985
Captain America,Stephen Tolkin,1990
The Patsy,Jerry Lewis,1964
View from the Top,Eric Wald,2003
The Zookeeper's Wife,Angela Workman,2017
Dangerous Beauty,Jeannine Dominy,1998
Immortality,Paul Hoffman,2000
Tin Cup,Ron Shelton,1996
Coffee Date,Stewart Wade,2006
Riding in Cars With Boys,Morgan Ward,2001
The Secret Garden,Menno Meyjes,1993
The Little Death,Josh Lawson (II),2015
The Reptile,John Elder,1966
Shanghai Surprise,Robert Bentley,1986
Wayne's World,Bonnie Turner,1992
Ernest & Clestine,Daniel Pennac,2014
Wuthering Heights,Olivia Hetreed,2012
A Futile and Stupid Gesture,John Aboud,2017
The FP,Jason Trost,2012
The Living Wake,Peter Kline,2010
Four Minutes,Chris Kraus,2007
Driving Lessons,Jeremy Brock,2006
And Now Ladies & Gentlemen,Pierre Uytterhoeven,2003
Run Robot Run!,Daniel O'Connor,2006
Swing Shift,Rob Morton,1984
Heidi,Julien Josephson,1937
The Santa Clause 3: The Escape Clause,Ed Decter,2006
Flash of Genius,Philip Railsback,2008
Stuck Between Stations,Nat Bennett,2011
Rain Man,Barry Morrow,1988
Final Analysis,Wesley Strick,1992
Twilight Zone: The Movie,Richard Matheson,1983
DuckTales: The Movie - Treasure of the Lost Lamp,Alan Burnett,1990
A Walk on the Moon,Pamela Gray (II),1999
Boys Don't Cry,Kimberly Peirce,1999
"Manolo, The Boy Who Made Shoes For Lizards",Michael Roberts,2017
Flock Of Dudes,Bob Castrone,2016
Ghost Town,John Kamps,2008
Sleeping Beauty,Ralph Wright,1959
The Horse Whisperer,Richard LaGravenese,1998
In the Heat of the Night,Sterling Silliphant,1967
Who's That Girl?,Ken Finkleman,1987
The Slumber Party Massacre,Rita Mae Brown,1982
X-Men: Apocalypse,Simon Kinberg,2016
Anatomy 2,Stefan Ruzowitzky,2003
All That Heaven Allows,Peg Fenwick,1955
Here Comes the Devil,Adrian Garca Bogliano,2013
Jurassic World,Rick Jaffa,2015
Southie,Dave McLaughlin,1998
Eating Out,Q. Allan Brocka,2004
The Fall of Fujimori,Ellen Perry,2006
Billy Liar,Keith Waterhouse,1963
Quicksilver,Thomas Michael Donnelly,1986
War Story,Mark Jackson,2014
Out of Time,Dave Collard,2003
Le Jour se lve (Daybreak),Jacques Viot,1939
Aida's Secrets,Alon Schwarz,2017
The French Connection,Ernest Tidyman,1971
Anatomy of a Murder,Wendell Mayes,1959
Far North,Tim Miller,2008
Arizona,Luke Del Tredici,2018
Alive Inside,Michael Rossato-Bennett,2014
The Color of Pomegranates (Sayat Nova ),Sergei Parajanov,1980
Maleficent,Linda Woolverton,2014
Life with Mikey,Marc Lawrence (II),1993
Overlord,Christopher Hudson,1975
Who's Your Caddy?,Don Michael Paul,2007
Answers to Nothing,Gillian Vigman,2011
Frankenstein and the Monster from Hell,John Elder,2003
Autumn Blood,Stephen T. Barton,2014
Phantasm: Ravager,David Hartman,2016
Heaven Knows Mr. Allison,John Huston,1957
Golden Door (Nuovomondo),Emanuele Crialese,2007
Let the Right One In,John Ajvide Lindqvist,2008
Late Bloomers,Gretchen Dyer,1997
Beyond the Valley of the Dolls,Russ Meyer,1970
Journey to the Center of the Earth,Michael D. Weiss,2008
Sample This,Dan Forrer,2013
Dark Was The Night,Tyler Hisel,2015
Ride in the Whirlwind,Jack Nicholson,1967
Sunday Bloody Sunday,Penelope Gilliatt,1971
Father's Little Dividend,Albert Hackett,1951
The Last Days,Alex Pastor,2014
The Mothman Prophecies,Richard Hatem,2002
"Farewell, Herr Schwarz",Yael Reuveny,2015
The Flight of the Intruder,Robert Dillon,1991
Our Brand is Crisis,Peter Straughan,2015
Modern Romance,Monica Johnson,1981
Superman II,David Newman,1981
What Lies Beneath,Sarah Kernochan,2000
The Dark Mirror,Vladimir Pozner,1946
Days of Heaven,Terrence Malick,1978
High Sierra,W.R. Burnett,1941
The Secret Life of Words,Isabel Coixet,2006
I Am Ali,Clare Lewins,2014
Sharknado 5: Global Swarming,Thunder Levin,2017
All the Money in the World,David Scarpa,2017
The Back-up Plan,Kate Angelo,2010
Tenacious D in The Pick of Destiny,Kyle Gass,2006
Francofonia,Aleksandr Sokurov,2016
Avanti!,Billy Wilder,1972
Bark!,Heather Morgan,2002
Love Don't Cost a Thing,Michael Swerdlick,2003
The Black Dahlia,James Ellroy,2006
SX_Tape,Eric Reese,2014
The Cobweb,William Gibson,1955
Assassination of a High School President,Tim Calpin,2008
Girls Can't Swim,Anne-Sophie Birot,2002
Paycheck,Dean Georgaris,2003
The French Connection II,Robert Dillon,1975
Kazaam,Paul Michael Glaser,1996
Tangerine,Chris Bergoch,2015
The Burning Plain,Guillermo Arriaga Jordan,2009
Reaching for the Moon,Julie Sayres,2013
Paranormal Activity: The Ghost Dimension,Jason Pagan,2015
Tampopo,Juzo Itami,1985
Four Horsemen,Dominic Frisby,2012
Come and See (Idi i smotri),Elem Klimov,1985
The Muse,Monica Johnson,1999
The Victim,Michael Biehn,2012
The Wild Bunch,Sam Peckinpah,1969
The Scorpion King,Stephen Sommers,2002
Vehicle 19,Mukunda Michael Dewil,2013
Heavenly Creatures,Fran Walsh,1994
Touch,Paul Schrader,1997
Murder on the Orient Express,Paul Dehn,1974
Coogan's Bluff,Herman Miller,1968
Dreamgirls,Bill Condon,2006
Brother's Keeper,Bruce Sinofsky,1992
Stardust,Neil Gaiman,2007
Young Man With a Horn,Carl Foreman,1950
The Left Handed Gun,Leslie Stevens,1958
The Trigger Effect,David Koepp,1996
Coherence,James Ward Byrkit,2014
The Astronaut Farmer,Michael Polish,2006
Asoka,Santosh Sivan,2001
Bright Eyes,William Conselman,1934
Daddy's Home,Brian Burns,2015
21 Grams,Guillermo Arriaga,2003
Daybreakers,Peter Spierig,2010
The Professionals,Richard Brooks,1966
The Black Power Mixtape 1967-1975,Goran Olsson,2011
Deep Red (Profondo rosso),Dario Argento,1975
Quick Change,Jay Cronley,1990
The Doctor,Robert Caswell,1991
Paint Your Wagon,Alan Jay Lerner,1969
Shoot the Piano Player (Tirez sur le pianiste),Franois Truffaut,1962
Beyond the Gates,Jackson Stewart,2016
Music From the Inside Out,Daniel Anker,2005
How the West Was Won,James R. Webb,1963
The Terminal Man,Mike Hodges,1974
Wings,Louis D. Lighton,1927
Man of La Mancha,Dale Wasserman,1973
Scooby-Doo,Craig Titley,2002
Harriet the Spy,Douglas Petrie,1996
Jaws,Howard Sackler,1975
Assisted Living,Elliot Greenebaum,2005
Pay It Forward,Leslie Dixon,2000
Chinatown,Robert Towne,1974
The Recruit,Kurt Wimmer,2003
Tom of Finland,Aleksi Bardy,2017
Sicko,Michael Moore,2007
Soul on a String,Tashi Dawa,2017
Missionary,Bruce Wood,2014
Exit Wounds,Ed Horowitz,2001
Land Ho!,Martha Stephens,2014
Black Sabbath (I Tre volti della paura) (The Three Faces of Fear) (The Three Faces of Terror),Mario Bava,1963
Mark Felt: The Man Who Brought Down the White House,Peter Landesman,2017
On The Job,Michiko Yamamoto,2013
Men of Honor,Scott Marshall Smith,2000
Dunston Checks In,Bruce Graham,1996
Orgazmo,Trey Parker,1998
Assassination of a High School President,Kevin Jakubowski,2008
God's Pocket,Alex Metcalf,2014
Solaris,Steven Soderbergh,2002
Things We Lost in the Fire,Allan Loeb,2007
Pitch Black,Jim Wheat,2000
Cops And Robbersons,Mark Steven Johnson,1994
The Naked Prey,Clint Johnson,1966
Finishing the Game,Josh Diamond,2007
A Tale of Two Cities,W.P. Lipscomb,1935
Solo: A Star Wars Story,Lawrence Kasdan,2018
Vertigo,Samuel W. Taylor,1958
The Miners' Hymns,David Metcalfe,2012
Beverly Hills Chihuahua,Analisa LaBianco,2008
Wanted: Dead or Alive,Brian Taggert,1987
The Nightmare Before Christmas,Caroline Thompson,1993
D.E.B.S.,Angela Robinson,2004
Bad News Bears,Bill Lancaster,2005
The Wilde Wedding,Damian Harris,2017
Knock Off,Steven E. de Souza,1998
All About Eve,Joseph L. Mankiewicz,1950
Bloodsucking Bastards,Ryan Mitts,2015
Client 9: The Rise and Fall of Eliot Spitzer,Alex Gibney,2010
Repentance,Shintaro Shimosawa,2014
Now You See Me 2,Ed Solomon,2016
Night of the Demons,Jace Anderson,2010
A Single Girl,Jrme Beaujour,2000
Blackway,Joe Gangemi,2016
How Do You Know,James L. Brooks,2010
Deadpool,Paul Wernick,2016
Big Hero 6,Daniel Gerson,2014
Pranzo di Ferragosto (Mid-August Lunch),Gianni Di Gregorio,2009
The Last House on the Left,Carl Ellsworth,2009
Out in the Dark,Yael Shafrir,2013
City Hall,Paul Schrader,1996
The Canterbury Tales,Pier Paolo Pasolini,1971
Jingle Bell Rocks,Mitchell Kezin,2014
The Most Dangerous Game,James Ashmore Creelman,1932
Things Change,Shel Silverstein,1988
Turbo,Darren Lemke,2013
And God Created Woman,R.J. Stewart,1988
Beaches,Mary Agnes Donoghue,1988
Les femmes du 6e tage (The Women on the 6th Floor),Philippe Le Guay,2011
Benji,Brandon Camp,2018
High Heels and Lowlifes,Kim Fuller,2001
